#,Model Name,Color Varient,Color,RAM,Storage,avg rating,Reviews,Price
72,"Redmi 9 (Sporty Orange, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL",Sporty Orange,Orange,4GB,64GB,4,7340,8999
73,"Vivo V19 (Mystic Silver, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Mystic Silver,Silver,8GB,128GB,4.2,1983,24990
74,"Redmi Note 8 (Space Black, 4GB RAM, 64GB Storage) | Snapdragon 665 Processor | 48 MP Quad Camera",Space Black,Black,4GB,64GB,4.3,105697,11499
75,"OPPO A52 (Twilight Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Twilight Black,Black,6GB,128GB,4.1,1725,13990
76,"Samsung Galaxy M11 (Metallic Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",Metallic Blue,Blue,4GB,64GB,4.1,2921,11999
77,OnePlus 8 Pro (Glacial Green 12GB RAM+256GB Storage),Glacial Green,Green,12GB,256GB,4.2,1343,59999
78,"Redmi Note 9 Pro (Champagne Gold, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free | Upto 6 Months No Cost EMI | Extra Upto INR 1000 Off on Exchange",Champagne Gold,Gold,4GB,64GB,4.2,25563,13999
79,"Vivo V20 Pro 5G (Midnight Jazz, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Midnight Jazz,Black,8GB,128GB,4.2,84,29990
80,"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 64GB Storage)",Ocean Blue,Blue,6GB,64GB,4.2,119885,15999
81,"Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage)",Midnight Black,Black,2GB,32GB,4.1,9286,7399
82,"Samsung Galaxy M21 (Midnight Blue, 6GB RAM, 128GB Storage)",Midnight Blue,Blue,6GB,128GB,4.2,80171,15999
83,"Redmi Note 9 Pro Max (Champagne Gold, 6GB RAM, 128GB Storage) - 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free | Upto 6 Months No Cost EMI | Extra Upto INR 1000 Off on Exchange",Champagne Gold,Gold,6GB,128GB,4.1,23563,18499
84,"Samsung Galaxy M11 (Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",Black,Black,4GB,64GB,4.1,2921,11999
85,"Redmi Note 9 Pro Max (Glacier White, 6GB RAM, 64GB Storage) - 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free | Upto 6 Months No Cost EMI | Extra Upto INR 1000 Off on Exchange",Glacier White,White,6GB,64GB,4.1,23563,16999
86,"Redmi 9A (Sea Blue, 2GB Ram, 32GB Storage)",Sea Blue,Blue,2GB,32GB,4.1,9286,7399
87,"Redmi Note 9 (Shadow Black, 6GB RAM, 128GB Storage)",Shadow Black,Black,6GB,128GB,4.2,21476,14999
88,OnePlus 8 (Glacial Green 6GB RAM+128GB Storage),Glacial Green,Green,6GB,128GB,4.3,3553,39999
89,Apple iPhone 11 (64GB) - Black,Black,Black,4GB,64GB,4.5,15170,51999
90,OnePlus 8 (Onyx Black 8GB RAM+128GB Storage),Onyx Black,Black,8GB,128GB,4.3,2397,41999
91,"OPPO F17 (Navy Blue, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Navy Blue,Blue,6GB,128GB,3.7,549,16990
92,"Samsung Galaxy M31 (Space Black, 6GB RAM, 64GB Storage)",Space Black,Black,6GB,64GB,4.2,119885,15999
93,"Redmi 9 (Sporty Orange, 4GB RAM, 128GB Storage) - 3 Months No Cost EMI on BFL",Sporty Orange,Orange,4GB,128GB,4,7340,9999
94,"Samsung Galaxy M31 (Iceberg Blue, 6GB RAM, 128GB Storage)",Iceberg Blue,Blue,6GB,128GB,4.2,119885,16499
95,"Redmi 8A Dual (Sky White, 3GB RAM, 64GB Storage) – Dual Cameras & 5,000 mAH Battery",Sky White,White,3GB,64GB,4,31332,8299
96,"Vivo Y50 (Pearl White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Pearl White,White,8GB,128GB,4,805,16490
97,"OPPO A12 (Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Blue,Blue,3GB,32GB,4,1782,8990
98,"OPPO F17 (Dynamic Orange, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Dynamic Orange,Orange,6GB,128GB,3.7,549,16990
99,OnePlus 7T Glacier Blue (8GB RAM+256GB Storage),Glacier Blue,Blue,8GB,256GB,4.5,34671,37999
100,"Redmi Note 8 (Neptune Blue, 4GB RAM, 64GB Storage) | Snapdragon 665 Processor | 48 MP Quad Camera",Nepture Blue,Blue,4GB,64GB,4.3,105697,11499
